captured_at_utc,bookmaker,event_url,market_group,market_name,selection,line,decimal_odds,raw_payload,season,round,hash_key
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel17,,1.01,,2025,finals_w1,878a9acebc2bffcfb51396a631cae945d4e4252aae2faaf5e5449e292c9f66d4
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel12,,1.02,,2025,finals_w1,a13e607320965008994a0c1b166160569ccb0af1d81940b9af7fceb33e848617
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel5,,0.95,,2025,finals_w1,bf4389cc83f8d6b2e7a9fb0d0b51e03e562eefa6204129e0b6bc658b1ba642d7
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel10,,1.01,,2025,finals_w1,b12b1c4ffd1ff3f2772dcc3dfe810c1bfd91a5a52c1458db8922f822358e70a7
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel19,,2.63,,2025,finals_w1,6f1e87e57ba2ca14ae065a05f3a0d2600ac57737aa68db064bff3fb85b4c95c8
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel6,,0.32,,2025,regular,7f5f877e91b807926124cf480faf261be1143d0b86c70e1d501fa2136de3b8e4
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel8,,0.95,,2025,finals_w1,5057540375f85b4040e6a9e8b12461e8e1bb48e30b3d1b59789fba7292aa08a9
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel8,,0.32,,2025,regular,eddf6a3da8358ff462fabbd2828b830565fc439badc5d181a643b2e851f6acd5
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel12,,1.02,,2025,finals_w1,aa8f9280a39606ebc0e891d24a45ecaab68ab032144f36a87b85de8d6f1246f6
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel18,,1.01,,2025,finals_w1,a5a2615cb8cd6e583dff5f04948beb1c4a1430a82adc3261e902c9fd509a44bd
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel12,,0.32,,2025,regular,2254d321f66d134d05c8cd2138361409e262a05da2d5c7db3f49cd9f45c6f68c
