provider,venue,lat,lon,tz,captured_at_utc,forecast_time_utc,season,round,game_key,temp_c,wind_speed_ms,wind_gust_ms,rain_prob,pressure_hpa,cloud_pct,raw_payload
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T09:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,11.7,1.99,2.9,0.26,1022.9,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T10:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,11.3,2.33,3.3,0.26,1023.3,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Sydney Showground Stadium,-33.84306,151.06778,Australia/Sydney,2025-08-28T12:24:42.702250+00:00,2025-09-06T11:00:00+00:00,2025,finals_w1,2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z,10.9,2.55,3.6,0.24,1023.9,0.0,"{'elevation': 15.0, 'generationtime_ms': 0.1544952392578125}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T03:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,16.6,4.22,7.8,0.06,1023.2,65.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T04:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,16.2,3.61,7.5,0.06,1023.5,67.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T05:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,16.0,3.26,7.0,0.06,1023.7,69.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T06:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,16.0,2.92,6.2,0.06,1023.7,70.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T07:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,15.9,2.6,5.3,0.06,1023.7,72.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T08:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,15.6,2.14,3.8,0.07,1023.5,77.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T09:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,15.3,1.7,2.2,0.09,1023.2,82.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T10:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,15.0,1.42,1.1,0.1,1022.9,87.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T11:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,14.6,1.46,1.2,0.1,1022.7,88.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T12:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,14.2,1.6,1.9,0.1,1022.6,88.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T13:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,13.9,1.96,2.6,0.1,1022.6,89.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T14:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,13.6,2.31,3.1,0.09,1022.9,93.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
open-meteo,Optus Stadium,-31.95111,115.88917,Australia/Perth,2025-08-28T12:24:42.702250+00:00,2025-09-06T15:00:00+00:00,2025,finals_w1,2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z,13.4,2.75,3.5,0.07,1023.4,96.0,"{'elevation': 9.0, 'generationtime_ms': 0.1857280731201172}"
