type,bookmaker,game_id,market_id,line,overround,team,player_name_std
overround_out_of_range,,,1.0,42.5,11.785783864199226,,
overround_out_of_range,,,1.0,43.5,21.490414294163543,,
overround_out_of_range,,,1.0,44.5,10.360360180449538,,
overround_out_of_range,,,1.0,45.5,9.382393823622312,,
overround_out_of_range,,,1.0,46.5,5.424012783054195,,
overround_out_of_range,,,1.0,47.5,5.480981555635476,,
overround_out_of_range,,,1.0,48.5,5.7710627365897995,,
overround_out_of_range,,,1.0,49.5,11.73654123384345,,
overround_out_of_range,,,1.0,50.5,5.289028592777884,,
overround_out_of_range,,,1.0,51.5,2.690205226078556,,
overround_out_of_range,,,1.0,52.5,2.245625342874934,,
overround_out_of_range,,,1.0,53.5,2.2687795778501263,,
overround_out_of_range,,,1.0,54.5,1.2179042331714087,,
overround_out_of_range,,,1.0,55.5,1.2513842746400885,,
overround_out_of_range,,,1.0,56.5,1.262998676498393,,
overround_out_of_range,,,1.0,57.5,3.4325591547433385,,
overround_out_of_range,,,1.0,58.5,1.312820512820513,,
overround_out_of_range,,,1.0,59.5,9.152822363069584,,
overround_out_of_range,,,1.0,60.0,171.72903793768802,,
overround_out_of_range,,,1.0,60.5,3.4596946473310477,,
overround_out_of_range,,,1.0,61.5,0.5464480874316939,,
overround_out_of_range,,,1.0,62.5,0.5555555555555556,,
overround_out_of_range,,,1.0,63.5,0.5649717514124294,,
overround_out_of_range,,,1.0,64.5,0.5747126436781609,,
overround_out_of_range,,,1.0,65.5,0.5847953216374269,,
overround_out_of_range,,,1.0,66.5,1.6713811851796754,,
overround_out_of_range,,,1.0,67.5,0.6134969325153374,,
overround_out_of_range,,,1.0,68.5,0.6289308176100629,,
overround_out_of_range,,,1.0,69.5,7.673004806233116,,
overround_out_of_range,,,1.0,70.0,146.13710117802412,,
overround_out_of_range,,,1.0,70.5,3.867962688867852,,
overround_out_of_range,,,1.0,71.5,0.6666666666666666,,
overround_out_of_range,,,1.0,72.5,1.7484395525810537,,
overround_out_of_range,,,1.0,73.5,0.6944444444444444,,
overround_out_of_range,,,1.0,74.5,1.7870495911910924,,
overround_out_of_range,,,1.0,75.5,0.7142857142857143,,
overround_out_of_range,,,1.0,76.5,0.7352941176470588,,
overround_out_of_range,,,1.0,77.5,0.7352941176470588,,
